S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
can i receive a death benefit in instalments in life guranteed benefit plan ?,"the death benefit can be received as a one-time payment or in instalments over a period of 5, 10, or 15 years.",
is there any tax benefit available for life guranteed benefit plan ?,"Tax benefits may be available on the premiums paid and benefits received, as per prevailing tax laws.",
,"Under the Income Benefit option, you can choose from 4 varied options. You also get a three-way boost with Monthly",
Is there any options available in the income benefit option of life guranteed benefit plan ?,"Income, Annual Income, and a Maturity benefit at the end of the policy term.",
,The Lumpsum Benefit option gives your savings an extra boost by providing a lump sum amount at the end of the,
what is the benefit if i choose lumpsumbenefit option in life guranteed benefit policy ?,policy term.,
,"If you miss a premium payment after paying premiums for two full years, you will continue to enjoy life cover benefits",
what happens if i miss to pay the premium for life guranteed benefit plan ?,for one full year.,
,"This rider protects your family from the burden of paying future premiums in case of death, accidental total permanent",
what is waiver premier rider ?,"disability, or any of the defined critical illnesses while continuing the benefits of the policy.",
how many years i need to pay the premium for life guranteed benefit plan ?,Pay premiums only for a limited period while benefitting from your policy for an entire term,
what are basic eligiblity createria for life guranteed benefit plan ?,"this is based on the two options one is lumpsum benefit option,next is income benefit option",
what is the minimum age at entry for life guranteed benefit plan ?,for lumpsum option =8 years; for income benefit option =4years,
what is the maximum age at entry for life guranteed benefit plan ?,for lumpsum option =60 years ;for income benefit option =55 years,
What is the minimum age at maturity for life guranteed benefit plan ?,for lumpsum =18 years ; for income option =23 years,
What is the maximum age at maturity under life guranteed benefit plan ?,it is 76 years for both lumpsum option and income benefit option,
What is the minimum sum assured on death under the Lumpsum Benefit Option in life guranteed plan ?,"it is 5,00,000.",
what is the maximum sum assured on death in life guranteed benefit plan ?,As per Board Approved Underwriting Policy,
what is the minimum policy term for life guranteed benefit plan ?,for lumpsum option =10 years; for income benefit option =15 years.,
Is there any maximum policy term available in life guranteed benefit plan ?,"yes , for lumpsum = 16 years",;for income benefit option = 21 years
,"At the inception of the policy, you can choose your policy term",
,underthe Lumpsum Benefit option or Premium Payment Term +,
what are the premium payment option available for life guranteed benefit plan ?,Gap Period + Income Period under the Income Benefit option.,
what is policy and premium payment for lumpsum option in life guranteed benefit plan ?,the premium payment term is 5 years \6 years 7 years and the policy payment term is 10 to 16 years,
,"for yearly = 50,000; for half yearly = 25,595;for monthly = 4,350; for quarterly =12,950. for maximum amount it is in the",
how much amount i pay for premium in life guranteed benefit plan ?,under writting policy,
,(1)ppt -5 years;gp - 5 years; ip - 5 years ;pt -15 years// (2) ppt -6 years; gp- 6 years;ip - 6 years;pt 18 years// (3) ppt - 7,
what is policy and premium payment for income benefit option in life guranteed benefit plan ?,years;gp - 7 years ; ip - 7 yeras; pt - 21 years // (4) ppt - 7 years; gp -8 years; ip - 6 years ; pt - 21 years,
when was the income payment starts ?,the policy will vest for the life assured upon attaining the age of 18 years.,
How is age determined for the eligibility criteria mentioned in this life guranteed benefit plan ?,The ages specified in the policy are based on the last birthday of the life assured.,
,"refers to the premium amount payable in a year, as chosen by the policyholder. This amount excludes taxes, rider",
What does annualized premium refer to in this policy?,"premiums, underwriting extra premiums, and any loadings for modal premiums.",
,"The Income Benefit payment will start on or after the life assured attains the age of 18 years. Therefore, the policy term",
When does the Income Benefit payment begin?,should be selected accordingly.,
,"The Total Premiums Paid refers to the sum of all premiums received, excluding any extra premiums, rider premiums,",
what is meant by total premiums paid in life guranteed benefit plan ?,and applicable taxes.,
,There are two benefit options in the policy; Lumpsum Benefit option and Income Benefit option. You can choose,
,one of these benefit options at inception of the policy. Benefit option once selected cannot be changed to,
what are the benefit option available in the life guranteed benefit plan ?,another.,
,as you receive a,
when will i receive the lumpsum payment in life guranteed benefit plan ?,lumpsum amount at the end of the policy term.,
,The maturity benefit amount will be determined by multiplying age and,
How is the maturity benefit amount determined in life guranteed benefit plan ?,term wise maturity benefit factor with Annualized Premium,
,Your nominee(s) will receive the death benefit in case of an unfortunate,
What happens in case of an unfortunate event in life guranteed benefit plan ?,event as specified in Point 5,
,This option will help you attain your liquidity goals as you receive a fixed
What is the work of the Income Benefit option in life guranteed benefit plan ?,monthly income during the Income Period.
,You can choose the policy and premium payment term at the inception of the policy and pay premiums for a limited
How can i choose the policy and premium payment term in life gurantedd benefit plan ?,duration accordingly.
,"if you choose 5-5-5 option, you will pay premiums for 5 years, and"
,"after the completion of gap period of 5 years, you will start receiving your"
How the income period work with the chosen options in life guranteed benefit plan ?,monthly income for the next 5 years.
,You will begin receiving your monthly income at the
,"beginning of every month during Income Period, after completion of Gap"
When will the monthly income starts received in life guranteed benefit plan ?,Period provided policy is in-force.
,"In addition to the monthly income, 5.5 times of monthly"
,income will be paid at the end of every policy year during Income period
what was the another benefit of the income benefit plan in life guranteed benefit plan ?,except at the end of the policy term i.e. on maturity.
,Your nominee(s) will receive the death benefit in case of an unfortunate
what happens if the policy holder death .is there any compliments in the income benefit option ?,event as specified in Point 5
,at the end of the policy term as the maturity
,"benefit in the policy. On payment of the maturity benefit, the policy will terminate, and no more benefits will be"
,payable.
what i get at the end of the policy term in life guranteed benefit plan ?,
,"Benefit, the Guaranteed Sum Assured on Maturity will be calculated by multiplying age and"
how can i get the payment at the end of the policy term in case lumpsum option in life guranteed benefit plan ?,term wise maturity benefit factor with Annualized Premium.
how can i get the payment at the end of the policy term in case of income benefit option in life guranteed benefit,"Benefit, Guaranteed Sum Assured on Maturity is X times of Monthly Income. X for different"
plan ?,premium payment terms .
What is the minimum Sum Assured on Death for a policy with a 5-year Premium Payment Term in life guranteed,
benefit plan ?,"The minimum Sum Assured on Death for a policy with a 5-year Premium Payment Term is Rs. 5,00,000."
,"The Lumpsum Benefit is payable on the death of the Life Assured during the policy term, provided the policy is in force"
What is the Lumpsum Benefit under the life guranteed benefit plan ?,or fully paid-up.
,Payable on Death of the Life Assured
,during the policy term given the policy
How is the Income Benefit payable in the plan of life guranteed benefit plan ?,is in force or fully paid-up
to whom the death benefit amount to be paid in life guranteed benefit plan ?,The Sum Assured on Death in the policy will be paid to nominee(s) in case of death of the Life Assured.
what was the minimum sum assured on death in life guranteed benefit plan ?,"Rs. 5,00,000"
what was the maximum sum assured on death in life guranteed benefit plan ?,As per board approved underwriting policy
In case of lumpsum benefit what was the sum assured on the death in life guranteed benefit plan?,"In case of Lumpsum Benefit, the Sum Assured on Death is of 10 times of annualized premium."
in case of income benefit what was the sum assured on the death in life guranteed benefit plan ?,In case of Income Benefit. Sum Assured on Death is of 11 times of annualized premium.
,You can also opt for Waiver of Premium Rider for continuation of benefits. Please refer to IndiaFirst Life Waiver of
Is there any continuation option in waiver of premium in life guranteed benefit plan ?,Premium Rider brochure for more details on the said rider.
,"The sum assured on death or 105% of total premiums paid till the date of death, whichever is higher, will be paid to the"
What happens if the life assured dies during the policy term?,nominee(s).
How is the Sum Assured on Death calculated in life guranteed benefit plan ?,The Sum Assured on Death is calculated as 10 times the Annualized Premium.
,"No, the death benefit is not reduced by any monthly or annual income already paid under the in-force policy or paid-up"
Is the death benefit affected by any monthly or annual income already paid under the life guranteed benefit plan ?,policies.
What are the options for receiving the death benefit under the life guranteed benefit plan ?,"The death benefit can be received as a lump sum amount or in monthly instalments over 5, 10, or 15 years."
How is the monthly instalment amount calculated if the death benefit is paid in instalments in lifr guranteed benefit,"The monthly instalment amount is calculated by multiplying the death benefit by the annuity factor, which is based on"
plan ?,the prevailing SBI savings bank interest rate as of the date of death.
What happens to the instalment payments once they start in life guranteed benefit plan ?,"Once the instalment payments start, they remain level throughout the instalment period."
,The prevailing SBI savings bank interest rate is subject to review at the end of every financial year and will be decided
Is the prevailing SBI savings bank interest rate fixed or subject to change in life guranteed benefit plan ?,on 31st March every year.
What is the policy option available for the death benefit in life guranteed benefit plan ?,The policy options available for the death benefit are Lumpsum Benefit and Income Benefit.
,"The death benefit is payable upon the death of the Life Assured during the policy term, given that the policy is in force"
When is the death benefit payable in life guranteed benefit plan ?,or fully paid-up.
,"Yes, the policy provides an option to receive the death benefit in monthly instalments over a period of 5, 10, or 15"
